remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
R571,1546300800,0,0,0,0,1,-0.1398862850032492,-1.3778009927155268
R571,1546315200,208,351,143,559,1,0.182012959337561,-0.7843683802228624
R571,1546329600,67,85,18,152,1,-0.09936749900230805,-1.216438278764033
R571,1546344000,388,263,-125,651,1,-0.42126674334311826,-0.6867014744101162
R571,1546358400,712,629,-83,1341,1,-0.32672290934092224,0.045800319185480325
R571,1546372800,523,918,395,1441,1,0.749275963350737,0.1519599994167262
R571,1546387200,285,379,94,664,1,0.07171181966833233,-0.6729007159800542
R571,1546401600,33,36,3,69,1,-0.13313315400309234,-1.3045508133559671
R571,1546416000,526,386,-140,912,1,-0.4550323983439025,-0.40962470900656445
R571,1546430400,1552,819,-733,2371,1,-1.7899012927082412,1.1392450255673128
R571,1546444800,824,807,-17,1631,1,-0.17815402733747138,0.35366339185609336
R571,1546459200,911,2030,1119,2941,1,2.3790315780552587,1.7443552028854143
R571,1546473600,378,657,279,1035,1,0.48815489801133854,-0.279048302322132
R571,1546488000,46,42,-4,88,1,-0.14889045967012499,-1.2843804741120304
R571,1546502400,548,407,-141,955,1,-0.4572834420106215,-0.3639760465071287
R571,1546516800,1728,872,-856,2600,1,-2.0667796637146725,1.3823506932968659
R571,1546531200,856,938,82,1794,1,0.044699295667704905,0.5267036706330241
R571,1546545600,971,2107,1136,3078,1,2.417299320389481,1.889793964802221
R571,1546560000,454,780,326,1234,1,0.5939539503471293,-0.06779053866195275
R571,1546574400,45,62,17,107,1,-0.101618542669027,-1.2642101348680936
R571,1546588800,539,412,-127,951,1,-0.42576883067655613,-0.3682224337163786
R571,1546603200,1689,986,-703,2675,1,-1.7223699827066727,1.4619704534703002
R571,1546617600,922,1004,82,1926,1,0.044699295667704905,0.6668344485382687
R571,1546632000,1087,2054,967,3141,1,2.036872940713978,1.956674563347906
R571,1546646400,545,838,293,1383,1,0.5196695093454039,0.09038738488260359
R571,1546660800,88,120,32,208,1,-0.06785288766824271,-1.1569888578345353
R571,1546675200,96,103,7,199,1,-0.12412897933621653,-1.1665432290553475
R571,1546689600,717,492,-225,1209,1,-0.6463711100150136,-0.09433045871976423
R571,1546704000,957,970,13,1927,1,-0.11062271733590281,0.6678960453405811
R571,1546718400,946,1113,167,2059,1,0.2360380073388159,0.8080268232458256
R571,1546732800,511,638,127,1149,1,0.14599626067005778,-0.15802626685851173
R571,1546747200,73,165,92,238,1,0.06720973233489443,-1.1251409537651615
R571,1546761600,76,50,-26,126,1,-0.19841342033794193,-1.244039795624157
R571,1546776000,597,400,-197,997,1,-0.5833418873468829,-0.31938898081000544
R571,1546790400,976,969,-7,1945,1,-0.15564359067028186,0.6870047877822054
R571,1546804800,689,1088,399,1777,1,0.7582801380176127,0.5086565249937123
R571,1546819200,312,428,116,740,1,0.12123478033614929,-0.5922193590043073
R571,1546833600,28,35,7,63,1,-0.12412897933621653,-1.310920394169842
R571,1546848000,646,415,-231,1061,1,-0.6598773720153273,-0.2514467854620081
R571,1546862400,1754,782,-972,2536,1,-2.327900729054071,1.3144084979488684
R571,1546876800,686,816,130,1502,1,0.15274939167021465,0.21671740435778616
R571,1546891200,961,2114,1153,3075,1,2.455567062723703,1.8866091743952838
R571,1546905600,420,705,285,1125,2,0.5634164637727653,-0.3580092544352163
R571,1546920000,31,45,14,76,2,0.04956981388000772,-1.43072223946696
R571,1546934400,656,437,-219,1093,2,-0.3922245382418097,-0.3907326248079673
R571,1546948800,1637,821,-816,2458,2,-1.5242040584852645,1.0051236426546926
R571,1546963200,715,677,-38,1392,2,-0.04902806728022621,-0.08497363288757512
R571,1546977600,1060,1115,55,2175,2,0.12731045094865368,0.7157263359206759
R571,1546992000,445,585,140,1030,2,0.2884800643836514,-0.45515676022932083
R571,1547006400,42,43,1,85,2,0.024920343589949233,-1.4215187915496237
R571,1547020800,684,201,-483,885,2,-0.8927983964399203,-0.6034345322308488
R571,1547035200,1973,509,-1464,2482,2,-2.7528853467897183,1.0296661704342558
R571,1547049600,826,909,83,1735,2,0.18040161772724117,0.2657799932953497
R571,1547064000,1048,2223,1175,3271,2,2.2509571220921534,1.8365017711873977
R571,1547078400,429,844,415,1273,2,0.8099111666733502,-0.2066636664612429
R571,1547092800,43,65,22,108,2,0.06473871867388985,-1.3979988690942091
R571,1547107200,623,419,-204,1042,2,-0.3637828417532807,-0.44288549633953916
R571,1547121600,1884,914,-970,2798,2,-1.816205475767496,1.352809452865172
R571,1547136000,837,847,10,1684,2,0.04198536148306664,0.21362712176377777
R571,1547150400,1119,2009,890,3128,2,1.7105648888101022,1.6902692098341667
R571,1547164800,429,867,438,1296,2,0.8535217679557613,-0.1831437440058281
R571,1547179200,49,53,4,102,2,0.030608682887655034,-1.4041345010390998
R571,1547193600,558,432,-126,990,2,-0.21588602001292978,-0.49606097319525955
R571,1547208000,1710,1116,-594,2826,2,-1.1032669504550352,1.3814424019413292
R571,1547222400,905,1038,133,1943,2,0.2752072726890046,0.47848190071823116
R571,1547236800,1086,2047,961,3133,2,1.8451889188558062,1.695382236454909
R571,1547251200,523,833,310,1356,2,0.610819291253647,-0.12178742455692
R571,1547265600,101,122,21,223,2,0.06284260557465458,-1.2803992568171352
R571,1547280000,102,86,-16,188,2,-0.00731357909705032,-1.3161904431623315
R571,1547294400,757,562,-195,1319,2,-0.34671782386016325,-0.15962382155041335
R571,1547308800,1073,1072,-1,2145,2,0.0211281173914787,0.6850481761962218
R571,1547323200,1016,1285,269,2301,2,0.533078654185001,0.844574606763383
R571,1547337600,562,663,101,1225,2,0.214531653513476,-0.2557487220203694
R571,1547352000,95,156,61,251,2,0.13868712954406529,-1.251766307740978
R571,1547366400,74,68,-6,142,2,0.011647551895302357,-1.363230288073161
R571,1547380800,607,409,-198,1016,2,-0.35240616315786905,-0.4694732347673994
R571,1547395200,893,946,53,1839,2,0.12351822475018315,0.3721309470067904
R571,1547409600,663,1122,459,1785,2,0.8933401430397019,0.31691025950277313
R571,1547424000,341,422,81,763,2,0.17660939152877064,-0.728192381776962
R571,1547438400,46,44,-2,90,2,0.019232004292243428,-1.4164057649288815
R571,1547452800,727,424,-303,1151,2,-0.5514980385775721,-0.3314215160073561
R571,1547467200,2250,671,-1579,2921,2,-2.970938353201774,1.4785899077354336
R571,1547481600,946,902,-44,1848,2,-0.060404745875637815,0.38133439492412663
R571,1547496000,1247,2014,767,3261,2,1.4773429776041642,1.826275717945913
R571,1547510400,477,751,274,1228,3,1.1443243895444961,0.11204918557026894
R571,1547524800,34,44,10,78,3,0.5899384869280263,-1.4400046593736524
R571,1547539200,698,311,-387,1009,3,-0.24374031359749826,-0.18351585098861695
R571,1547553600,2005,522,-1483,2527,3,-2.5452817880961756,1.8651952243373593
R571,1547568000,734,712,-22,1446,3,0.5227401957017875,0.40626461009007314
R571,1547582400,1199,987,-212,2186,3,0.12375034154599496,1.4049775190105094
R571,1547596800,426,653,227,1079,3,1.0456268993059579,-0.0890430082529
R571,1547611200,40,74,34,114,3,0.6403372053477054,-1.3914186259667123
R571,1547625600,676,264,-412,940,3,-0.2962389786179973,-0.27663908168525225
R571,1547640000,2117,371,-1746,2488,3,-3.0975677441118257,1.8125603548131741
R571,1547654400,878,604,-274,1482,3,-0.006446347704842638,0.4548506434970133
R571,1547668800,1180,926,-254,2106,3,0.035552584311556584,1.297008555883976
R571,1547683200,461,569,108,1030,3,0.7957332538083826,-0.15517399816790187
R571,1547688763,15,14,-1,29,3,0.5668390743190067,-1.5061356492886542
R571,1547697600,40,56,16,96,3,0.6025381665329461,-1.4157116426701823
R571,1547712000,699,264,-435,963,3,-0.34453775043685636,-0.2455980047863738
R571,1547726400,2145,335,-1810,2480,3,-3.2319643265643028,1.8017634585005207
R571,1547740800,896,592,-304,1488,3,-0.06944474572944147,0.4629483157315033
R571,1547755200,1180,866,-314,2046,3,-0.09044421173764108,1.2160318335390756
R571,1547769600,520,568,48,1088,3,0.6697364577591849,-0.07689649990116497
R571,1547784000,43,71,28,114,3,0.6277375257427856,-1.3914186259667123
R571,1547798400,630,236,-394,866,3,-0.258439939803238,-0.37651037257729586
R571,1547812800,1889,382,-1507,2271,3,-2.595680506515855,1.5196945423324515
R571,1547827200,816,643,-173,1459,3,0.20564825897797345,0.42380956659813485
R571,1547841600,1230,947,-283,2177,3,-0.025345867112222288,1.3928310106587745
R571,1547856000,598,486,-112,1084,3,0.3337450016279911,-0.08229494805749164
R571,1547870400,80,113,33,193,3,0.6382372587468854,-1.2847992748792603
R571,1547884800,108,100,-8,208,3,0.552139448113267,-1.2645550942930353
R571,1547899200,802,372,-430,1174,3,-0.3340380174327566,0.039170135459858715
R571,1547913600,1089,726,-363,1815,3,-0.19334159517781918,0.9042714525112097
R571,1547928000,1016,730,-286,1746,3,-0.03164570691468217,0.8111482218145744
R571,1547942400,495,497,2,992,3,0.5731389141214667,-0.20645925565300535
R571,1547956800,84,144,60,228,3,0.6949358169690244,-1.2375628535114018
R571,1547971200,63,55,-8,118,3,0.552139448113267,-1.3860201778103856
R571,1547985600,516,327,-189,843,3,0.17204911336485407,-0.4075514494761743
R571,1548000000,905,611,-294,1516,3,-0.04844527972124186,0.5007374528257901
R571,1548014400,719,624,-95,1343,3,0.3694440938419304,0.2672545700646611
R571,1548028800,329,351,22,680,3,0.6151378461378658,-0.6275382118464866
R571,1548043200,49,71,22,120,3,0.6151378461378658,-1.3833209537322222
R571,1548057600,212,187,-25,399,3,0.5164403558993277,-1.0067791948284361
R571,1548072000,869,400,-469,1269,3,-0.41593593486473507,0.16738327917261744
R571,1548086400,749,524,-225,1273,3,0.09645103573533546,0.17278172732894412
R571,1548100800,731,712,-19,1443,3,0.5290400355042475,0.40221577397282815
R571,1548115200,294,327,33,621,4,0.7703334670327733,-0.7647907424109165
R571,1548129600,38,27,-11,65,4,0.6832219600521977,-1.5067063878404496
R571,1548144000,651,206,-445,857,4,-0.17601426789256983,-0.4498769073005391
