remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
461,1546300800,0,0,0,0,1,-0.634980373919842,-1.090909064841084
461,1546315200,147,84,-63,231,1,-0.7391930264648665,-0.8377162513860721
461,1546329600,34,62,28,96,1,-0.5886636394553867,-0.9856860774312088
461,1546344000,65,381,316,446,1,-0.11226294210670358,-0.6020606024993729
461,1546358400,235,709,474,944,1,0.14909577379986563,-0.05621635531064619
461,1546372800,450,518,68,968,1,-0.5224968759347363,-0.02991060845817744
461,1546387200,157,81,-76,238,1,-0.7606972246090778,-0.8300437418874353
461,1546401600,14,14,0,28,1,-0.634980373919842,-1.060219026846537
461,1546416000,34,462,428,496,1,0.07300399575111763,-0.5472569632233962
461,1546430400,195,2065,1870,2260,1,2.4583158206705655,1.3862154304330574
461,1546444800,508,1458,950,1966,1,0.9364802596956058,1.0639700314903149
461,1546459200,1312,1416,104,2728,1,-0.46294678876615086,1.899177494056198
461,1546473600,396,191,-205,587,1,-0.9740850369631755,-0.4475143397411189
461,1546488000,54,27,-27,81,1,-0.6796429392962811,-1.002127169214002
461,1546502400,49,518,469,567,1,0.14082492835978433,-0.46943579545150954
461,1546516800,226,2361,2135,2587,1,2.8966706289948747,1.7446312312979442
461,1546531200,544,1429,885,1973,1,0.8289592689745489,1.0716425409889516
461,1546545600,1326,1406,80,2732,1,-0.5026468468785411,1.903561785198276
461,1546560000,451,189,-262,640,1,-1.0683726749801024,-0.38942248210858377
461,1546574400,276,157,-119,433,1,-0.8318264953937771,-0.6163095487111268
461,1546588800,36,504,468,540,1,0.13917075927176806,-0.4990297606605369
461,1546601628,199,2205,2006,2404,1,2.683282816640777,1.5440499115478699
461,1546601712,193,721,528,914,1,0.23842090455274373,-0.08909853887623213
461,1546603200,41,209,168,250,1,-0.3570799671331102,-0.816890868461201
461,1546606075,79,266,187,345,1,-0.3256507544608012,-0.7127639538368455
461,1546617600,531,1326,795,1857,1,0.6800840510530853,0.944498097868686
461,1546632000,1285,1707,422,2992,1,0.06307898122302007,2.1885407094333544
461,1546646400,464,285,-179,749,1,-0.9310766406747527,-0.2699505484869548
461,1546660800,76,41,-35,117,1,-0.6928762920004111,-0.9626685489352986
461,1546675200,18,112,94,130,1,-0.47948847964631347,-0.9484196027235448
461,1546689600,86,658,572,744,1,0.3112043444254592,-0.2754309124145525
461,1546704000,297,876,579,1173,1,0.322783528041573,0.1947843125733265
461,1546718400,453,754,301,1207,1,-0.1370754784269475,0.23205078728099057
461,1546732800,288,229,-59,517,1,-0.7325763501128014,-0.5242394347274861
461,1546747200,95,52,-43,147,1,-0.7061096447045412,-0.9297863653697127
461,1546761600,16,75,59,91,1,-0.5373843977268826,-0.9911664413588065
461,1546776000,67,510,443,577,1,0.09781653207136155,-0.45847506759631423
461,1546790400,272,817,545,1089,1,0.26654177904902016,0.10271419858968586
461,1546804800,488,477,-11,965,1,-0.6531762338880209,-0.03319882681473603
461,1546819200,209,112,-97,321,1,-0.7954347754574194,-0.7390697006893143
461,1546833600,23,35,12,58,1,-0.6151303448636469,-1.027336843280951
461,1546848000,51,492,441,543,1,0.09450819389532902,-0.49574154230397827
461,1546862400,230,2494,2264,2724,1,3.1100584413489725,1.89479320291412
461,1546876800,515,1159,644,1674,1,0.43030451876263,0.7439167781186118
461,1546891200,1272,1387,115,2659,1,-0.444750928797972,1.8235484718553503
461,1546905600,404,181,-223,585,2,-0.9501692772336559,-0.6561158052831286
461,1546920000,37,24,-13,61,2,-0.6695567533695727,-1.165977626640817
461,1546934400,58,524,466,582,2,-0.029492948936735253,-0.6590348615122756
461,1546948800,226,2493,2267,2719,2,2.377093505726188,1.4203061923834879
461,1546963200,494,1250,756,1744,2,0.35801958401842726,0.4716129179106899
461,1546977600,1297,1293,-4,2590,2,-0.6575305023468262,1.294786774530164
461,1546992000,455,171,-284,626,2,-1.031680534165604,-0.6162220368181186
461,1547006400,39,20,-19,59,2,-0.6775742540514036,-1.167923664126915
461,1547020800,44,536,492,580,2,0.005249554017865524,-0.6609808989983738
461,1547035200,266,2555,2289,2821,2,2.4064910082262347,1.5195541041744884
461,1547049600,563,1371,808,1934,2,0.4275045899276288,0.6564864790900043
461,1547064000,1289,1553,264,2842,2,-0.2994154718917105,1.539987497778518
461,1547078400,464,198,-266,662,2,-1.007628032120111,-0.5811933620683538
461,1547092800,38,26,-12,64,2,-0.6682205032559342,-1.16305857041167
461,1547107200,44,500,456,544,2,-0.042855450073120166,-0.6960095737481385
461,1547121600,284,2676,2392,2960,2,2.5441247699309995,1.6548037094583026
461,1547136000,617,1402,785,2019,2,0.3967708373139435,0.7391930722491714
461,1547150400,1380,1564,184,2944,2,-0.40631548098278986,1.6392354095695183
461,1547164800,510,201,-309,711,2,-1.0650867870065661,-0.5335154436589516
461,1547179200,45,30,-15,75,2,-0.6722292535968496,-1.1523553642381308
461,1547193600,48,515,467,563,2,-0.02815669882309676,-0.6775222176302071
461,1547208000,274,2546,2272,2820,2,2.3837747562943803,1.5185810854314394
461,1547222400,539,1459,920,1998,2,0.5771646026551399,0.7187596786451419
