remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
R463,1546300800,0,0,0,0,1,0.09242306145352247,-1.3667326358963605
R463,1546315200,114,89,-25,203,1,0.018848979174372664,-1.023145360246873
R463,1546329600,35,108,73,143,1,0.30725938170863987,-1.1246982496014013
R463,1546344000,175,442,267,617,1,0.8781942601948425,-0.32243042370062747
R463,1546358400,678,672,-6,1350,1,0.07476528170652652,0.918207374580527
R463,1546372800,839,496,-343,1335,1,-0.9170133474164128,0.8928191522418949
R463,1546387200,394,134,-260,528,1,-0.6727473942496355,-0.47306720957651116
R463,1546401600,29,18,-11,47,1,0.06005046525069656,-1.2871828725686465
R463,1546416000,82,252,170,334,1,0.5927268209517411,-0.8014215518228194
R463,1546430400,370,1011,641,1381,1,1.9788625310909236,0.9706763674137
R463,1546444800,815,716,-99,1531,1,-0.19893030437191078,1.2245585908000207
R463,1546459200,1204,502,-702,1706,1,-1.973537168945004,1.5207545180840618
R463,1546473600,434,138,-296,572,1,-0.7786940727316112,-0.3985950907165237
R463,1546488000,34,12,-22,46,1,0.027677869047870642,-1.2888754207245554
R463,1546502400,74,240,166,314,1,0.5809549677870771,-0.8352725149409955
R463,1546516800,391,1037,646,1428,1,1.9935773475467535,1.0502261307414138
R463,1546531200,763,622,-141,1385,1,-0.32253476260088243,0.9774465600373352
R463,1546545600,1177,553,-624,1730,1,-1.7439860322340566,1.561375673825873
R463,1546560000,455,126,-329,581,1,-0.8758118613400889,-0.38336215731334444
R463,1546574400,32,21,-11,53,1,0.06005046525069656,-1.2770275836331937
R463,1546588800,74,225,151,299,1,0.5368105184195873,-0.8606607372796276
R463,1546603200,365,984,619,1349,1,1.9141173386852717,0.9165148264246182
R463,1546617600,780,768,-12,1548,1,0.057107501959530564,1.2533319094504705
R463,1546632000,1201,595,-606,1796,1,-1.6910126929930687,1.6730838521158542
R463,1546646400,466,194,-272,660,1,-0.7080629537436275,-0.24965085299654882
R463,1546660800,52,33,-19,85,1,0.03650675892136862,-1.222866042644112
R463,1546675200,39,125,86,164,1,0.34551790449379777,-1.0891547383273164
R463,1546689600,247,761,514,1008,1,1.6051061931128425,0.3393559052597155
R463,1546704000,739,594,-145,1333,1,-0.33430661576554643,0.8894340559300773
R463,1546718400,815,415,-400,1230,1,-1.0847622550128744,0.7151015958714704
R463,1546732800,449,132,-317,581,1,-0.840496301846097,-0.38336215731334444
R463,1546747200,58,33,-25,91,1,0.018848979174372664,-1.2127107537086592
R463,1546761600,27,100,73,127,1,0.30725938170863987,-1.1517790200959421
R463,1546776000,215,702,487,917,1,1.5256461842513607,0.18533402307201421
R463,1546790400,752,609,-143,1361,1,-0.32842068918321443,0.9368254042955239
R463,1546804800,836,371,-465,1207,1,-1.276054868938664,0.6761729882855678
R463,1546819200,312,107,-205,419,1,-0.5108844132355059,-0.6575549585705709
R463,1546833600,21,16,-5,37,1,0.07770824499769251,-1.3041083541277347
R463,1546848000,80,235,155,315,1,0.5485823715842513,-0.8335799667850867
R463,1546862400,366,1017,651,1383,1,2.0082921640025835,0.9740614637255176
R463,1546876800,643,622,-21,1265,1,0.030620832339036633,0.7743407813282785
R463,1546891200,985,471,-514,1456,1,-1.4202600702057975,1.0976174791068605
R463,1546905600,316,113,-203,429,2,-0.5569647046674333,-0.6582330117470409
R463,1546920000,23,16,-7,39,2,0.004914394452947939,-1.3695311204959872
R463,1546934400,79,218,139,297,2,0.42345698869568094,-0.8989800639389919
R463,1546948800,358,997,639,1355,2,1.8568220374721636,1.0306440362055855
R463,1546963200,592,506,-86,1098,2,-0.22155728325373636,0.5619168209530747
R463,1546977600,969,481,-488,1450,2,-1.3739827824700286,1.2039089601316109
R463,1546992000,373,124,-249,497,2,-0.6888342891548698,-0.5342118030420964
R463,1547006400,24,17,-7,41,2,0.004914394452947939,-1.3658834378870182
R463,1547020800,82,251,169,333,2,0.5094588916222699,-0.8333217769775507
R463,1547035200,365,1049,684,1414,2,1.9858248918620471,1.1382506731701698
R463,1547049600,634,554,-80,1188,2,-0.20435690266841858,0.7260625383566778
R463,1547064000,1031,482,-549,1513,2,-1.5488533184207596,1.318810962314133
R463,1547078400,373,123,-250,496,2,-0.6917010192524227,-0.5360356443465808
R463,1547092800,28,21,-7,49,2,0.004914394452947939,-1.3512927074511423
R463,1547107200,87,222,135,309,2,0.4119900683054691,-0.8770939682851782
R463,1547121600,358,1073,715,1431,2,2.074693524886189,1.1692559753464058
R463,1547136000,635,582,-53,1217,2,-0.12695519003448846,0.7789539361867276
R463,1547150400,989,514,-475,1503,2,-1.33671529120184,1.3005725492692883
R463,1547164800,367,140,-227,507,2,-0.6257662270087044,-0.5159733899972516
R463,1547179200,35,20,-15,55,2,-0.018019446327475788,-1.3403496596242355
R463,1547193600,87,189,102,276,2,0.3173879750862212,-0.9372807313331659
R463,1547208000,359,929,570,1288,2,1.659017660741009,0.9084466688051256
R463,1547222400,679,587,-92,1266,2,-0.23875766383905417,0.868322160106467
R463,1547236800,1020,551,-469,1571,2,-1.3195149106165223,1.4245937579742327
R463,1547251200,453,156,-297,609,2,-0.826437333837412,-0.32994157693983484
R463,1547265600,58,22,-36,80,2,-0.07822077837608805,-1.2947536270121236
R463,1547280000,41,138,97,179,2,0.3030543245984563,-1.1141933378681603
R463,1547294400,225,831,606,1056,2,1.7622199442529158,0.4853154861647267
R463,1547308800,761,681,-80,1442,2,-0.20435690266841858,1.1893182296957352
R463,1547323200,963,450,-513,1413,2,-1.4456510349088527,1.1364268318656852
R463,1547337600,413,176,-237,589,2,-0.6544335279842342,-0.3664184030295244
R463,1547352000,63,30,-33,93,2,-0.06962058808342916,-1.2710436900538253
R463,1547366400,29,97,68,126,2,0.21991915176942034,-1.2108569270058376
R463,1547380800,202,753,551,955,2,1.6045497888875027,0.30110751441179445
R463,1547395200,673,508,-165,1181,2,-0.4480289609604206,0.7132956492252864
R463,1547409600,693,389,-304,1082,2,-0.8465044445202828,0.5327353600813232
R463,1547424000,279,84,-195,363,2,-0.5340308638870096,-0.7786065378430164
R463,1547438400,22,21,-1,43,2,0.022114775038265734,-1.3622357552780493
R463,1547452800,83,223,140,306,2,0.42632371879323394,-0.8825654921986316
R463,1547467200,345,1072,727,1417,2,2.1090942860568247,1.143722197083623
R463,1547481600,611,557,-54,1168,2,-0.12982192013204144,0.6895857122669882
R463,1547496000,994,458,-536,1452,2,-1.511585827152571,1.20755664274058
R463,1547510400,296,103,-193,399,3,-0.4642139183232596,-0.6619398885774572
R463,1547524800,23,15,-8,38,3,0.06227011982762743,-1.3142851983344546
R463,1547539200,90,266,176,356,3,0.585908298312834,-0.7396430695180414
R463,1547553600,413,1005,592,1418,3,1.7697859192359096,1.179444794642433
R463,1547568000,894,559,-335,1453,3,-0.8683259908498863,1.2426915698266294
R463,1547582400,1438,474,-964,1912,3,-2.658371720562902,2.0721278500993767
R463,1547596800,498,120,-378,618,3,-0.9906979564741465,-0.26619578099634245
R463,1547611200,31,16,-15,47,3,0.04234910216786414,-1.2980217418585185
R463,1547625600,89,237,148,326,3,0.5062242276737808,-0.7938545911044955
R463,1547640000,362,1030,668,1392,3,1.9860712538276253,1.1324614759341727
R463,1547654400,600,581,-19,1181,3,0.030965663505142255,0.7511737741094457
R463,1547668800,1009,505,-504,1514,3,-1.3492762743498856,1.352921663719086
R463,1547683200,322,111,-211,433,3,-0.5154393923055081,-0.6005001641128093
R463,1547697600,26,17,-9,43,3,0.059424260161946955,-1.3052499447367123
R463,1547712000,82,240,158,322,3,0.5346828243305854,-0.8010827939826893
R463,1547726400,359,1053,694,1412,3,2.0600636051353174,1.1686024903251422
R463,1547740800,632,581,-51,1213,3,-0.06010184579663279,0.8089993971349968
R463,1547755200,1018,532,-486,1550,3,-1.2980508003676372,1.417975489622831
R463,1547769600,394,136,-258,530,3,-0.6491947965924901,-0.42521624431660776
R463,1547784000,31,17,-14,48,3,0.04519496183354461,-1.29621469113897
R463,1547798400,75,221,146,296,3,0.5005325083424198,-0.8480661126909496
R463,1547812800,337,944,607,1281,3,1.8124738142211168,0.9318788460642927
R463,1547827200,616,567,-49,1183,3,-0.05441012646527185,0.7547878755485427
R463,1547841600,1023,583,-440,1606,3,-1.1671412557463356,1.5191703299175452
R463,1547856000,479,158,-321,637,3,-0.8284839555303597,-0.23186181732492153
R463,1547870400,62,40,-22,102,3,0.022428084508100844,-1.1986339522833527
R463,1547884800,47,162,115,209,3,0.4123108587063253,-1.0052795252916664
R463,1547899200,226,865,639,1091,3,1.9035413235228917,0.5885392093500835
R463,1547913600,789,732,-57,1521,3,-0.07717700379071561,1.3655710187559253
R463,1547928000,914,449,-465,1363,3,-1.2382877473883473,1.080057005067267
R463,1547942400,356,145,-211,501,3,-0.5154393923055081,-0.47762071518351334
R463,1547956800,45,29,-16,74,3,0.039503242502183664,-1.2492313724307098
R463,1547971200,30,120,90,150,3,0.3411643670643135,-1.111895517745026
R463,1547985600,185,611,426,796,3,1.2973732147329515,0.05545924708328508
R463,1548000000,595,515,-80,1110,3,-0.14263177610136643,0.6228731730215045
R463,1548014400,673,333,-340,1006,3,-0.8825552891782886,0.4349398981884636
R463,1548028800,272,82,-190,354,3,-0.45567633932621815,-0.7432571709571384
R463,1548043200,32,19,-13,51,3,0.048040821499225075,-1.2907935389803245
R463,1548057600,30,132,102,162,3,0.37531468305247917,-1.0902109091104444
