remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
R273,1546311600,137,257,120,394,1,0.5826717594469737,-0.8402495391468846
R273,1546326000,109,116,7,225,1,0.2371686004761504,-1.2871485859315377
R273,1546340400,307,89,-218,396,1,-0.4507801673861084,-0.8349607930310898
R273,1546354800,487,182,-305,669,1,-0.7167870242928484,-0.11304694822511194
R273,1546369200,441,400,-41,841,1,0.0904061966655352,0.34178521773323317
R273,1546383600,179,412,233,591,1,0.928174918417797,-0.31930804674110563
R273,1546398000,51,151,100,202,1,0.5215207578592174,-1.3479691662631768
R273,1546412400,283,55,-228,338,1,-0.48135566817998654,-0.9883344303891365
R273,1546426800,910,186,-724,1096,1,-1.9979005075563439,1.0161003474970587
R273,1546441200,599,303,-296,902,1,-0.6892690735783581,0.5030919742649718
R273,1546455600,518,768,250,1286,1,0.9801532697673898,1.518531228497556
R273,1546470000,216,624,408,840,1,1.4632461823106648,0.3391408446753358
R273,1546484400,55,251,196,306,1,0.8150455654804477,-1.0729543682418519
R273,1546498800,318,67,-251,385,1,-0.5516793200059062,-0.8640488966679608
R273,1546513200,997,175,-822,1172,1,-2.29754041533635,1.2170726998972576
R273,1546527600,579,361,-218,940,1,-0.4507801673861084,0.6035781504650714
R273,1546542000,570,794,224,1364,1,0.9006569677033066,1.72479232701355
R273,1546556400,253,637,384,890,1,1.3898649804053573,0.47135949757020357
R273,1546570800,65,246,181,311,1,0.7691823142896305,-1.059732502952365
R273,1546585200,306,58,-248,364,1,-0.5425066697677429,-0.9195807308838052
R273,1546598712,219,171,-48,390,1,0.06900334610982048,-0.850827031378474
R273,1546599575,13,11,-2,24,1,0.20965064976166006,-1.818667570568906
R273,1546599600,1027,168,-859,1195,1,-2.410669768273699,1.277893280228897
R273,1546614000,608,380,-228,988,1,-0.48135566817998654,0.7305080572441444
R273,1546628400,610,767,157,1377,1,0.6958011123843229,1.7591691767662154
