remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
R322,1546311600,263,161,-102,424,1,-0.6584832027256463,-0.8150940575414585
R322,1546326000,79,47,-32,126,1,-0.3942631104623188,-1.174170373904448
R322,1546340400,71,235,164,306,1,0.34555314787499797,-0.9572786391885483
R322,1546354800,397,663,266,1060,1,0.7305595680301322,-0.04874326154527959
R322,1546369200,799,621,-178,1420,1,-0.9453507314686875,0.3850402078865198
R322,1546383600,470,213,-257,683,1,-1.2435419784515855,-0.5030109503669139
R322,1546398000,84,44,-40,128,1,-0.42445969243527054,-1.171760465740938
R322,1546412400,38,137,99,175,1,0.10020591934476535,-1.115127623898453
R322,1546426800,574,1179,605,1753,1,2.010139729133961,0.7862899171109342
R322,1546441200,793,1133,340,1926,1,1.0098779512799354,0.994746973254549
R322,1546455600,1470,1275,-195,2745,1,-1.00951846816121,1.9816043662118925
R322,1546470000,707,428,-279,1135,1,-1.3265825788772028,0.04162829458634529
R322,1546484400,137,48,-89,185,1,-0.6094137570195998,-1.103078083080903
R322,1546498800,41,138,97,179,1,0.09265677385152742,-1.110307807571433
R322,1546513200,571,1128,557,1699,1,1.8289602372962506,0.7212223966961643
R322,1546527600,710,1141,431,1851,1,1.3533640712222612,0.904375417122924
R322,1546542000,1477,1283,-194,2760,1,-1.005743895414591,1.9996786774382176
R322,1546556400,830,554,-276,1384,1,-1.3152588606373459,0.3416618609433399
R322,1546570800,122,61,-61,183,1,-0.5037257201142689,-1.105487991244413
R322,1546585200,41,134,93,175,1,0.07755848286505157,-1.115127623898453
R322,1546599600,560,1093,533,1653,1,1.7383704913773954,0.6657945089354345
R322,1546614000,757,1274,517,2031,1,1.677977327431492,1.1212671518388238
R322,1546628400,1444,1429,-15,2873,1,-0.3300953737697965,2.1358384886765323
R322,1546642800,811,640,-171,1451,1,-0.9189287222423548,0.42239378442092473
R322,1546657200,218,110,-108,328,1,-0.6811306392053601,-0.9307696493899383
R322,1546671600,38,64,26,102,1,-0.17533789115841897,-1.203089271866568
R322,1546686000,175,523,348,698,1,1.0400745332528871,-0.484936639140589
R322,1546700400,620,998,378,1618,1,1.153311715651456,0.6236211160740095
R322,1546714800,990,879,-111,1869,1,-0.692454357445217,0.9260645905945141
R322,1546729200,606,573,-33,1179,1,-0.3980376832089378,0.09464627418356521
R322,1546743600,224,117,-107,341,1,-0.6773560664587411,-0.9151052463271234
R322,1546758000,45,53,8,98,1,-0.2432802005975603,-1.2079090881935879
R322,1546772400,107,379,272,486,1,0.7532070045098459,-0.7403869044726487
R322,1546786800,583,976,393,1559,1,1.2099303068507405,0.5525288252504645
R322,1546801200,999,862,-137,1861,1,-0.7905932488573101,0.9164249579404741
R322,1546815600,456,246,-210,702,1,-1.0661370593604944,-0.480116822813569
R322,1546830000,103,52,-51,155,1,-0.46597999264807916,-1.139226705533553
R322,1546844400,61,153,92,214,1,0.0737839101184326,-1.0681344147100083
R322,1546858800,599,1201,602,1800,1,1.9988160108941038,0.8429227589534192
R322,1546873200,565,848,283,1413,1,0.7947273047226545,0.3766055293142348
R322,1546887600,1288,1087,-201,2375,1,-1.0321659046409237,1.5357713559625432
R322,1546902000,665,451,-214,1116,1,-1.0812353503469703,0.018734167033000317
R322,1546916400,136,53,-83,189,2,-0.6654137470409539,-1.1795745299801075
R322,1546930800,48,147,99,195,2,0.01404426556672063,-1.172366305004236
R322,1546945200,669,1173,504,1842,2,1.5260250079079745,0.8062914508724784
R322,1546959600,621,877,256,1498,2,0.6001701335854289,0.3930198855891817
R322,1546974000,1311,1327,16,2638,2,-0.29581845446864746,1.7625826310047583
R322,1546988400,702,479,-223,1181,2,-1.188073756739165,0.01218533269730647
R322,1547002800,136,20,-116,156,2,-0.7886121778983894,-1.2192197673474006
R322,1547017200,51,128,77,179,2,-0.0680880216715697,-1.1915882382732266
R322,1547031600,625,1252,627,1877,2,1.9852191592856887,0.8483394298983953
R322,1547046000,624,911,287,1535,2,0.7159019928757471,0.43747060627372236
R322,1547060400,1309,1219,-90,2528,2,-0.6915467475258645,1.6304318397804483
R322,1547074800,836,560,-276,1396,2,-1.3859379032677737,0.27048006099936694
R322,1547089200,142,66,-76,208,2,-0.6392807465560434,-1.1567484842231812
R322,1547103600,50,169,119,219,2,0.08870998123789366,-1.1435334051007502
R322,1547118000,606,1229,623,1835,2,1.9702860161514542,0.7978818550672951
R322,1547132400,686,1025,339,1711,2,0.910032853620797,0.6489118722326184
R322,1547146800,1269,1267,-2,2536,2,-0.36301759857270316,1.6400428064149435
R322,1547161200,813,543,-270,1356,2,-1.3635381885664217,0.2224252278268906
R322,1547175600,138,36,-102,174,2,-0.7363461769285683,-1.197595092419786
R322,1547190000,50,138,88,188,2,-0.027021878052424536,-1.1807759008094194
R322,1547204400,628,1165,537,1793,2,1.6492234387654099,0.7474242802361949
R322,1547218800,694,1142,448,1836,2,1.3169610040286899,0.799083225896607
R322,1547233200,1363,1387,24,2750,2,-0.26595216820017825,1.897136163887692
R322,1547247600,821,727,-94,1548,2,-0.7064798906600991,0.45308842705477714
R322,1547262000,210,85,-125,295,2,-0.8222117499504172,-1.0522292220730451
R322,1547276400,56,71,15,127,2,-0.2995517402522061,-1.254059521397446
R322,1547290800,156,541,385,697,2,1.081763999664495,-0.5692781486896576
R322,1547305200,631,1111,480,1742,2,1.4364261491025667,0.6861543679412876
R322,1547319600,1163,936,-227,2099,2,-1.2030068998733998,1.115043754005639
R322,1547334000,619,554,-65,1173,2,-0.5982146029368982,0.002574366062811195
R322,1547348400,251,130,-121,381,2,-0.8072786068161827,-0.9489113307522209
R322,1547362800,44,54,10,98,2,-0.31821816916999934,-1.2888992754474913
R322,1547377200,104,360,256,464,2,0.6001701335854289,-0.8491975519193324
R322,1547391600,531,893,362,1424,2,0.9958984266426459,0.3041184442201004
R322,1547406000,896,705,-191,1601,2,-1.0686086116652882,0.5167610810083083
R322,1547420400,379,260,-119,639,2,-0.7998120352490654,-0.6389576567897484
R322,1547434800,82,38,-44,120,2,-0.5198156014821665,-1.2624691172026292
R322,1547449200,58,152,94,210,2,-0.004622163351072626,-1.1543457425645574
R322,1547463600,604,1277,673,1881,2,2.156950305329387,0.8531449132156429
R322,1547478000,569,840,271,1409,2,0.6561694203388087,0.2860978817804218
R322,1547492400,1259,1086,-173,2345,2,-1.0014094675612326,1.4105809780163687
R322,1547506800,648,455,-193,1103,2,-1.0760751832324056,-0.08152159198902245
R322,1547521200,118,48,-70,166,3,-0.6416829900504741,-1.1405839798923427
R322,1547535600,57,172,115,229,3,0.09272219962284803,-1.062842932243
R322,1547550000,622,1113,491,1735,3,1.5853511256616002,0.7955383020412911
R322,1547564400,648,951,303,1599,3,0.839036662642224,0.6277163579093764
R322,1547578800,1284,1261,-23,2545,3,-0.4551043742956301,1.795066057532842
R322,1547593200,750,586,-164,1336,3,-1.0148402215601622,0.30317833359545304
R322,1547607600,135,58,-77,193,3,-0.6694712945245999,-1.1072663880426243
R322,1547622000,64,167,103,231,3,0.04508510623863253,-1.060374962476354
R322,1547636400,616,1289,673,1905,3,2.3078470419888686,1.0053157322061845
R322,1547650800,689,989,300,1678,3,0.8271273892961701,0.7252011636918857
R322,1547665200,1264,1256,-8,2520,3,-0.39555800756536075,1.7642164354497694
R322,1547679600,800,567,-233,1367,3,-1.288753508519401,0.341431864978463
R322,1547694000,141,55,-86,196,3,-0.7051991145627614,-1.1035644333926558
R322,1547708400,57,139,82,196,3,-0.038279807183744574,-1.1035644333926558
R322,1547722800,611,1304,693,1915,3,2.3872421976292277,1.0176555810394134
R322,1547737200,671,1021,350,1692,3,1.0256152783970682,0.7424769520584062
R322,1547751600,1252,1351,99,2603,3,0.029206075110560704,1.8666371807655704
R322,1547766000,844,625,-219,1469,3,-1.2331768995711496,0.46729832307739905
R322,1547780400,159,57,-102,216,3,-0.7687152390750488,-1.0788847357261977
R322,1547794800,51,150,99,201,3,0.029206075110560704,-1.097394508976041
R322,1547809200,576,1185,609,1761,3,2.053782543939719,0.8276219090076865
R322,1547823600,699,1089,390,1788,3,1.1844055896777865,0.8609395008574049
R322,1547838000,1461,1431,-30,2892,3,-0.48289267876975583,2.223258812045889
R322,1547852400,802,628,-174,1430,3,-1.0545377993803415,0.41917291262780587
R322,1547866800,261,112,-149,373,3,-0.9552938548298927,-0.885149109044502
R322,1547881200,51,51,0,102,3,-0.3637999453092171,-1.2195590124250084
R322,1547895600,161,472,311,633,3,0.8707947248983677,-0.5643130393805473
R322,1547910000,677,929,252,1606,3,0.6365790157593082,0.6363542520926366
R322,1547924400,1067,929,-138,1996,3,-0.9116265192276952,1.1176083565885686
R322,1547938800,555,421,-134,976,3,-0.8957474880996233,-0.14105622440079182
R322,1547953200,179,69,-110,248,3,-0.8004733013311924,-1.0393972194598649
R322,1547967600,29,41,12,70,3,-0.3161628519250016,-1.2590465286913415
R322,1547982000,108,326,218,434,3,0.5016072511706976,-0.809876031161805
R322,1547996400,454,695,241,1149,3,0.5929116801571107,0.07242316041407029
R322,1548010800,812,591,-221,1403,3,-1.2411164151351857,0.3858553207780875
R322,1548025200,383,167,-216,550,3,-1.2212676262250959,-0.6667337846963483
R322,1548039600,100,37,-63,137,3,-0.6138946855763484,-1.176369541508707
R322,1548054000,35,98,63,133,3,-0.11370520504208577,-1.1813054810419985
R322,1548068400,210,669,459,879,3,1.4583188766370254,-0.2607527580831134
R322,1548082800,432,766,334,1198,3,0.9620991538847807,0.1328884196968925
R322,1548097200,702,687,-15,1389,3,-0.42334631203948647,0.3685795324115669
