remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
R041,1546311600,44,46,2,90,1,0.005451152134177622,-0.7822318772070481
R041,1546326000,23,24,1,47,1,0.003350708192567896,-0.8472588401638227
R041,1546340400,66,168,102,234,1,0.21549554629515022,-0.5644671640494773
R041,1546354800,185,158,-27,343,1,-0.055461722172504425,-0.399631374228816
R041,1546369200,298,145,-153,443,1,-0.3201176588153299,-0.24840587898050293
R041,1546383600,104,45,-59,149,1,-0.12267592830401565,-0.6930088350105433
R041,1546398000,33,20,-13,53,1,-0.026055506989968266,-0.838185310448924
R041,1546412400,96,180,84,276,1,0.17768755534617514,-0.5009524560451858
R041,1546426800,437,1532,1095,1969,1,2.301236380313608,2.0592951785087545
R041,1546441200,432,469,37,901,1,0.07896669009051803,0.444206889256771
R041,1546455600,1337,336,-1001,1673,1,-2.1012941213003775,1.611667712573748
R041,1546470000,322,112,-210,434,1,-0.43984296348708424,-0.2620161735528511
R041,1546484400,62,34,-28,96,1,-0.057562166114114154,-0.7731583474921493
R041,1546498800,114,189,75,303,1,0.15878355987168763,-0.4601215723281412
R041,1546513200,417,1644,1227,2061,1,2.5784949806060915,2.1984226341372026
R041,1546527600,504,574,70,1078,1,0.148281340163639,0.7118760158462851
R041,1546542000,1395,424,-971,1819,1,-2.0382808030520856,1.832456935636285
R041,1546556400,338,96,-242,434,1,-0.5070571696185955,-0.2620161735528511
R041,1546570800,58,44,-14,102,1,-0.02815595093157799,-0.7640848177772505
R041,1546585200,92,198,106,290,1,0.22389732206158913,-0.4797808867104219
R041,1546599600,392,1511,1119,1903,1,2.3516470349122414,1.959486351644868
R041,1546614000,510,531,21,1041,1,0.045359587024762414,0.6559225826044093
R041,1546628400,1313,352,-961,1665,1,-2.0172763636359883,1.5995696729538829
R041,1546642800,275,81,-194,356,1,-0.40623586042132864,-0.3799720598465353
R041,1546657200,69,41,-28,110,1,-0.057562166114114154,-0.7519867781573855
